filepaths,labels,processed_filepaths
raw\train\glioma\Tr-glTr_0000.jpg,glioma,processed\train\glioma\Tr-glTr_0000.jpg
raw\train\glioma\Tr-glTr_0001.jpg,glioma,processed\train\glioma\Tr-glTr_0001.jpg
raw\train\glioma\Tr-glTr_0002.jpg,glioma,processed\train\glioma\Tr-glTr_0002.jpg
raw\train\glioma\Tr-glTr_0003.jpg,glioma,processed\train\glioma\Tr-glTr_0003.jpg
raw\train\glioma\Tr-glTr_0004.jpg,glioma,processed\train\glioma\Tr-glTr_0004.jpg
raw\train\glioma\Tr-glTr_0005.jpg,glioma,processed\train\glioma\Tr-glTr_0005.jpg
raw\train\glioma\Tr-glTr_0006.jpg,glioma,processed\train\glioma\Tr-glTr_0006.jpg
raw\train\glioma\Tr-glTr_0007.jpg,glioma,processed\train\glioma\Tr-glTr_0007.jpg
raw\train\glioma\Tr-glTr_0008.jpg,glioma,processed\train\glioma\Tr-glTr_0008.jpg
raw\train\glioma\Tr-glTr_0009.jpg,glioma,processed\train\glioma\Tr-glTr_0009.jpg
raw\train\glioma\Tr-gl_0010.jpg,glioma,processed\train\glioma\Tr-gl_0010.jpg
raw\train\glioma\Tr-gl_0011.jpg,glioma,processed\train\glioma\Tr-gl_0011.jpg
raw\train\glioma\Tr-gl_0012.jpg,glioma,processed\train\glioma\Tr-gl_0012.jpg
raw\train\glioma\Tr-gl_0013.jpg,glioma,processed\train\glioma\Tr-gl_0013.jpg
raw\train\glioma\Tr-gl_0014.jpg,glioma,processed\train\glioma\Tr-gl_0014.jpg
raw\train\glioma\Tr-gl_0015.jpg,glioma,processed\train\glioma\Tr-gl_0015.jpg
raw\train\glioma\Tr-gl_0016.jpg,glioma,processed\train\glioma\Tr-gl_0016.jpg
raw\train\glioma\Tr-gl_0017.jpg,glioma,processed\train\glioma\Tr-gl_0017.jpg
raw\train\glioma\Tr-gl_0018.jpg,glioma,processed\train\glioma\Tr-gl_0018.jpg
raw\train\glioma\Tr-gl_0019.jpg,glioma,processed\train\glioma\Tr-gl_0019.jpg
raw\train\glioma\Tr-gl_0020.jpg,glioma,processed\train\glioma\Tr-gl_0020.jpg
raw\train\glioma\Tr-gl_0021.jpg,glioma,processed\train\glioma\Tr-gl_0021.jpg
raw\train\glioma\Tr-gl_0022.jpg,glioma,processed\train\glioma\Tr-gl_0022.jpg
raw\train\glioma\Tr-gl_0023.jpg,glioma,processed\train\glioma\Tr-gl_0023.jpg
raw\train\glioma\Tr-gl_0024.jpg,glioma,processed\train\glioma\Tr-gl_0024.jpg
raw\train\glioma\Tr-gl_0025.jpg,glioma,processed\train\glioma\Tr-gl_0025.jpg
raw\train\glioma\Tr-gl_0026.jpg,glioma,processed\train\glioma\Tr-gl_0026.jpg
raw\train\glioma\Tr-gl_0027.jpg,glioma,processed\train\glioma\Tr-gl_0027.jpg
raw\train\glioma\Tr-gl_0028.jpg,glioma,processed\train\glioma\Tr-gl_0028.jpg
raw\train\glioma\Tr-gl_0029.jpg,glioma,processed\train\glioma\Tr-gl_0029.jpg
raw\train\glioma\Tr-gl_0030.jpg,glioma,processed\train\glioma\Tr-gl_0030.jpg
raw\train\glioma\Tr-gl_0031.jpg,glioma,processed\train\glioma\Tr-gl_0031.jpg
raw\train\glioma\Tr-gl_0032.jpg,glioma,processed\train\glioma\Tr-gl_0032.jpg
raw\train\glioma\Tr-gl_0033.jpg,glioma,processed\train\glioma\Tr-gl_0033.jpg
raw\train\glioma\Tr-gl_0034.jpg,glioma,processed\train\glioma\Tr-gl_0034.jpg
raw\train\glioma\Tr-gl_0035.jpg,glioma,processed\train\glioma\Tr-gl_0035.jpg
raw\train\glioma\Tr-gl_0036.jpg,glioma,processed\train\glioma\Tr-gl_0036.jpg
raw\train\glioma\Tr-gl_0037.jpg,glioma,processed\train\glioma\Tr-gl_0037.jpg
raw\train\glioma\Tr-gl_0038.jpg,glioma,processed\train\glioma\Tr-gl_0038.jpg
raw\train\glioma\Tr-gl_0039.jpg,glioma,processed\train\glioma\Tr-gl_0039.jpg
raw\train\glioma\Tr-gl_0040.jpg,glioma,processed\train\glioma\Tr-gl_0040.jpg
raw\train\glioma\Tr-gl_0041.jpg,glioma,processed\train\glioma\Tr-gl_0041.jpg
raw\train\glioma\Tr-gl_0042.jpg,glioma,processed\train\glioma\Tr-gl_0042.jpg
raw\train\glioma\Tr-gl_0043.jpg,glioma,processed\train\glioma\Tr-gl_0043.jpg
raw\train\glioma\Tr-gl_0044.jpg,glioma,processed\train\glioma\Tr-gl_0044.jpg
raw\train\glioma\Tr-gl_0045.jpg,glioma,processed\train\glioma\Tr-gl_0045.jpg
raw\train\glioma\Tr-gl_0046.jpg,glioma,processed\train\glioma\Tr-gl_0046.jpg
raw\train\glioma\Tr-gl_0047.jpg,glioma,processed\train\glioma\Tr-gl_0047.jpg
raw\train\glioma\Tr-gl_0048.jpg,glioma,processed\train\glioma\Tr-gl_0048.jpg
raw\train\glioma\Tr-gl_0049.jpg,glioma,processed\train\glioma\Tr-gl_0049.jpg
raw\train\glioma\Tr-gl_0050.jpg,glioma,processed\train\glioma\Tr-gl_0050.jpg
raw\train\glioma\Tr-gl_0051.jpg,glioma,processed\train\glioma\Tr-gl_0051.jpg
raw\train\glioma\Tr-gl_0052.jpg,glioma,processed\train\glioma\Tr-gl_0052.jpg
raw\train\glioma\Tr-gl_0053.jpg,glioma,processed\train\glioma\Tr-gl_0053.jpg
raw\train\glioma\Tr-gl_0054.jpg,glioma,processed\train\glioma\Tr-gl_0054.jpg
raw\train\glioma\Tr-gl_0055.jpg,glioma,processed\train\glioma\Tr-gl_0055.jpg
raw\train\glioma\Tr-gl_0056.jpg,glioma,processed\train\glioma\Tr-gl_0056.jpg
raw\train\glioma\Tr-gl_0057.jpg,glioma,processed\train\glioma\Tr-gl_0057.jpg
raw\train\glioma\Tr-gl_0058.jpg,glioma,processed\train\glioma\Tr-gl_0058.jpg
raw\train\glioma\Tr-gl_0059.jpg,glioma,processed\train\glioma\Tr-gl_0059.jpg
raw\train\glioma\Tr-gl_0060.jpg,glioma,processed\train\glioma\Tr-gl_0060.jpg
